species	brain_size_max	body_mass_max
Climacteris_rufa	0.00106708	0.033
Clubiona_barroana	NA	0.000035
Clyomys_laticeps	0.00352	0.201
Cnemidophorus_murinus	NA	0.0552
Coeloesis_biloba	NA	0.00469
Coendou_prehensilis	0.01673	4.4
Coendou_rothschildi	0.02085	2
Coleonyx_switaki	NA	0.00946
Coleonyx_variegatus	NA	0.00362
Colinus_virginianus	NA	0.194
Colius_colius	NA	0.04521
Colluricincla_harmonica	0.002072	0.0676
Colluricincla_megarhyncha	0.00138824	0.0372
Colobus_angolensis	0.0744	9.67
Colobus_guereza	0.0839	10.28125
Colonia_colonus	0.0013	NA
Coluber_constrictor	0.000303	0.59
Columba_leucomela	0.00237244	0.42
Columba_livia	0.002694	0.282
Condylura_cristata	NA	0.049
Conepatus_chinga	0.01632	1.918
Conepatus_leuconotus	0.01852	3.5
Conepatus_mesoleucus	0.016	NA
Conopophila_albogularis	0.00053872	0.012
Conopophila_rufogularis	0.00045584	0.011
Copsychus_saularis	NA	0.0335
Coptotermes_formosanus	NA	0.00000399
Coracina_maxima	0.0022792	0.1395
Coracina_novaehollandiae	0.0024864	0.115
Coracina_papuensis	0.00210308	0.0657
Coracina_tenuirostris	0.00178192	0.0666
Corcorax_melanorhamphos	0.0053872	0.36
Cordylus_cordylus	0.000175	NA
Cormobates_leucophaea	0.00083916	0.0207
Coronella_girondica	0.000088	NA
Corvus_abyssinicus	0.0145	NA
Corvus_albicollis	0.012	NA
Corvus_albus	0.0105	NA
Corvus_bennetti	0.0079	0.43
Corvus_brachyrhynchos	0.0093	0.337
Corvus_capensis	0.008	NA
Corvus_caurinus	0.007	0.39
Corvus_corax	NA	0.866
Corvus_coronoides	0.01018388	0.6344
Corvus_crassirostris	0.014	NA
Corvus_cryptoleucus	0.0087	0.64
Corvus_enca	0.0066	0.24
Corvus_imparatus	0.0044	NA
Corvus_jamaicensis	0.007	NA
Corvus_leucognaphalus	0.0087	NA
Corvus_macrorhynchos	0.0097	0.49
Corvus_mellori	0.008806	0.53
Corvus_moneduloides	0.0063	0.275
Corvus_nasicus	0.0059	0.36
Corvus_orru	0.00923076	0.5819
Corvus_ossifragus	0.0067	0.285
Corvus_palmarum	0.0059	0.29
Corvus_rhipidurus	0.0094	0.745
Corvus_ruficollis	0.0105	NA
Corvus_splendens	0.0057	0.295
Corvus_torquatus	0.008	NA
Corvus_tristis	0.0103	0.635
Corvus_tropicus	0.0099	NA
Corvus_validus	0.0087	NA
Cossypha_caffra	NA	0.02999
Coturnix_chinensis	NA	0.049
Coturnix_japonica	NA	0.115
Coturnix_pectoralis	0.00099456	0.105
Cracticus_nigrogularis	0.00312872	0.1241
Cracticus_tibicen	0.0048174	0.2798
Cracticus_torquatus	0.00288008	0.0937
Crematogaster_sp.	0.000000044	0.000000795
Crepidogaster_bioculata	NA	0.000171
Cricetomys_gambianus	NA	1.8709
Cricetus_cricetus	0.0022	0.297
Crocidura_giffardi	0.00055	0.082
Crocidura_hildegardeae	0.00022	0.0106
Crocidura_jacksoni	0.00025	0.0126
Crocidura_niobe	0.00028	0.0115
Crocidura_occidenlalis	0.00044	0.028
Crocidura_pyrenaicus	0.00133	0.0575
Crocidura_russula	0.00019	0.011
Crocodylus_acutus	0.0156	134
Crocuta_crocuta	0.175	62.37
Crypsirina_temia	0.0018	NA
Cryptoglossa_verrucossa	NA	0.0002334
Cryptomys_sp.	NA	0.0819
Cryptoprocta_ferox	0.03678	9.5
Ctenophorus_caudicinctus	0.000105837627392	0.01528
Ctenophorus_cristatus	0.000182870277632	0.03557
Ctenophorus_decresii	0.00011085896192	0.01608
Ctenophorus_fionni	0.000098617652224	0.01493
Ctenophorus_fordi	0.000046336152576	0.00399
Ctenophorus_gibba	0.000102931788288	0.01507
Ctenophorus_isolepis	0.00006574770944	0.00819
Ctenophorus_nuchalis	0.000148007104	0.0343
Ctenophorus_ornatus	0.000117611626496	0.02175
Ctenophorus_pictus	0.000083510948864	0.00959
Ctenophorus_rufescens	0.000120325051392	0.02044
Ctenophorus_salinarum	0.000083453927424	0.00884
Ctenophorus_tjantjalka	0.000094429095936	0.01056
Ctenophorus_vadnappa	0.000104970371072	0.01435
Cuculus_canorus	NA	0.128
Cuniculus_paca	0.0358	5.635
Cupiennius_salei	0.000000250712	NA
Cyanocitta_stelleri	0.0034	0.13
Cyanocorax_affinis	0.0037	0.21
Cyanocorax_caeruleus	0.0037	0.27
Cyanocorax_cayanus	0.0042	0.175
Cyanocorax_chrysops	0.0043	0.155
Cyanocorax_cyanomelas	0.0038	0.22
Cyanocorax_mystacalis	0.0032	NA
Cyanocorax_violaceus	0.0047	0.26
Cyanocorax_yncas	0.0024	0.08
Cyanolyca_argentigula	0.0026	0.2
Cyanolyca_viridicyanea	0.0033	0.1
Cyanomitra_veroxii	NA	0.0084
Cyanopica_cyanus	0.003	0.07
Cyclocephala_sp.	NA	0.000338
Cyclopes_didactylus	NA	0.24
Cyclopsitta_diophthalma	0.0017612	0.0366
Cyclosa_conica	NA	0.0000108
Cygnus_atratus	0.01273244	6.1
Cygnus_olor	0.01536388	NA
Cymbirhynchus_macrorhynchus	0.0015	NA
Cynomys_gunnisoni	0.0056	NA
Cynomys_ludovicianus	NA	1.1123
Cynopterus_brachyotis	0.00088	0.029
Cynopterus_horsfieldi	0.00123	0.053
Cypholoba_bihamata	NA	0.000245
Cypholoba_chanleri	NA	0.000326
Cypholoba_sp.	NA	0.000192
Cypholoba_tenuicollis	NA	0.000059
