#The list of species
#species: Scientific name of the species.
#NCBI.taxid: taxID from the NCBI.
#assembly_accession: Assembly accession used.
#clade: Clade corresponding to the species, it can be the class for vertebrates or the order for insects.
#nb_rnaseq: Number of RNA-seq studied.
species	NCBI.taxid	assembly_accession	clade	nb_rnaseq
Microtus_ochrogaster	79684	GCF_000317375.1	Mammalia	19
Microtus_oregoni	111838	GCF_018167655.1	Mammalia	0
Miniopterus_natalensis	291302	GCF_001595765.1	Mammalia	18
Mionectes_macconnelli	254557	GCA_013397495.1	Aves	0
Mirounga_angustirostris	9716	GCF_021288785.1	Mammalia	47
Mirounga_leonina	9715	GCF_011800145.1	Mammalia	1
Miscanthus_lutarioriparius	422564	GCA_904845875.1	Embryophyta	50
Mischocyttarus_mexicanus	91405	GCA_023678845.1	Hymenoptera	0
Misgurnus_anguillicaudatus	75329	GCF_027580225.1	Teleostei	0
Mizuhopecten_yessoensis	6573	GCF_002113885.1	Mollusca	50
Mohoua_ochrocephala	874463	GCA_013398855.1	Aves	0
Molossus_molossus	27622	GCF_014108415.1	Mammalia	9
Molothrus_ater	84834	GCF_012460135.1	Aves	31
Monodelphis_domestica	13616	GCF_000002295.2	Mammalia	269
Monodon_monoceros	40151	GCF_005190385.1	Mammalia	0
Monomorium_pharaonis	307658	GCF_013373865.1	Hymenoptera	0
Monopterus_albus	43700	GCF_001952655.1	Teleostei	0
Morone_saxatilis	34816	GCF_004916995.1	Teleostei	0
Morus_notabilis	981085	GCF_000414095.1	Embryophyta	8
Moschus_berezovskii	68408	GCF_022376915.1	Mammalia	0
Motacilla_alba	45807	GCF_015832195.1	Aves	8
Mugil_cephalus	48193	GCF_022458985.1	Teleostei	0
Muntiacus_muntjak	9888	GCA_008782695.1	Mammalia	0
Muraenolepis_orangiensis	630683	GCA_027704905.1	Teleostei	0
Mus_caroli	10089	GCF_900094665.1	Mammalia	0
Mus_musculus	10090	GCF_000001635.26	Mammalia	317
Mus_pahari	10093	GCF_900095145.1	Mammalia	14
Musa_acuminata	4641	GCF_000313855.2	Embryophyta	50
Musa_balbisiana	52838	GCA_004837865.1	Embryophyta	40
Musca_domestica	7370	GCF_000371365.1	Diptera	12
Muscidifurax_raptorellus	51938	GCA_020010945.3	Hymenoptera	0
Mustela_erminea	36723	GCF_009829155.1	Mammalia	0
Mustela_putorius	9668	GCF_011764305.1	Mammalia	50
Mya_arenaria	6604	GCF_026914265.1	Mollusca	13
Myiagra_hebetior	381031	GCA_013397015.1	Aves	0
Myiozetetes_cayanensis	478635	GCF_022539395.1	Aves	0
Myodes_glareolus	447135	GCF_902806735.1	Mammalia	0
Myotis_brandtii	109478	GCF_000412655.1	Mammalia	15
Myotis_davidii	225400	GCF_000327345.1	Mammalia	0
Myotis_lucifugus	59463	GCF_000147115.1	Mammalia	50
Myotis_myotis	51298	GCF_014108235.1	Mammalia	40
Myripristis_murdjan	586833	GCF_902150065.1	Teleostei	0
Mystacornis_crossleyi	98133	GCA_013400655.1	Aves	0
Mythimna_separata	271217	GCA_029852925.1	Lepidoptera	0
Mytilus_californianus	6549	GCF_021869535.1	Mollusca	0
Myxobolus_squamalis	59785	GCA_010108815.1	Cnidaria	0
Myxocyprinus_asiaticus	70543	GCF_019703515.2	Teleostei	0
Myzus_persicae	13164	GCF_001856785.1	Hemiptera	0
Naja_naja	35670	GCA_009733165.1	Lepidosauria	31
Nannospalax_galili	1026970	GCF_000622305.1	Mammalia	0
Nanorana_parkeri	125878	GCF_000935625.1	Amphibia	0
Nasonia_vitripennis	7425	GCF_000002325.3	Hymenoptera	114
Necator_americanus	51031	GCF_000507365.1	Nematoda	17
Nelumbo_nucifera	4432	GCF_000365185.1	Embryophyta	50
Nematolebias_whitei	451745	GCF_014905685.1	Teleostei	6
Nematostella_vectensis	45351	GCF_932526225.1	Cnidaria	0
Neodiprion_fabricii	2872261	GCF_021155785.1	Hymenoptera	0
Neodiprion_lecontei	441921	GCF_021901455.1	Hymenoptera	0
Neodiprion_pinetum	441929	GCF_021155775.1	Hymenoptera	0
Neodiprion_virginianus	2961670	GCF_021901495.1	Hymenoptera	0
Neodrepanis_coruscans	254563	GCA_013400695.1	Aves	0
Neogale_vison	452646	GCF_020171115.1	Mammalia	0
Neolamprologus_brichardi	32507	GCF_000239395.1	Teleostei	0
Neomonachus_schauinslandi	29088	GCF_002201575.1	Mammalia	1
Neopelma_chrysocephalum	114329	GCF_003984885.1	Aves	0
Neophocaena_asiaeorientalis	189058	GCF_003031525.1	Mammalia	8
Neopipo_cinnamomea	456388	GCA_013397415.1	Aves	0
Neotoma_lepida	56216	GCA_001675575.1	Mammalia	0
Nephila_pilipes	299642	GCA_019974015.1	Arachnida	0
Nesidiocoris_tenuis	355587	GCA_902806785.1	Hemiptera	0
Nesospiza_acunhae	381881	GCA_013398715.1	Aves	0
Nestor_notabilis	176057	GCF_000696875.1	Aves	0
Nezara_viridula	85310	GCA_928085145.1	Hemiptera	0
Nibea_albiflora	240163	GCA_014281875.1	Teleostei	0
Nicator_chloris	237433	GCA_013400495.1	Aves	0
Nicrophorus_vespilloides	110193	GCF_001412225.1	Coleoptera	46
Nilaparvata_lugens	108931	GCF_014356525.2	Hemiptera	0
Nipponia_nippon	128390	GCF_000708225.1	Aves	0
Nomascus_leucogenys	61853	GCF_006542625.1	Mammalia	0
Nomia_melanderi	2448451	GCF_003710045.2	Hymenoptera	0
Notechis_scutatus	8663	GCF_900518725.1	Lepidosauria	0
Nothobranchius_furzeri	105023	GCF_001465895.1	Teleostei	50
Nothocercus_julius	2585813	GCA_013398735.1	Aves	0
Nothocercus_nigrocapillus	1977171	GCA_013398345.1	Aves	0
Nothoprocta_ornata	83376	GCA_013398335.1	Aves	0
Nothoprocta_pentlandii	2585814	GCA_013398315.1	Aves	0
Nothoprocta_perdicaria	30464	GCF_003342845.1	Aves	6
Notiomystis_cincta	366454	GCA_013398075.1	Aves	0
Notodromas_monacha	399045	GCA_905338405.1	Crustacea	0
Notolabrus_celidotus	1203425	GCF_009762535.1	Teleostei	50
Notothenia_coriiceps	8208	GCF_000735185.1	Teleostei	0
Numida_meleagris	8996	GCF_002078875.1	Aves	50
Nyctereutes_procyonoides	34880	GCA_905146905.1	Mammalia	13
Nyctibius_bracteatus	48426	GCA_013396595.1	Aves	0
Nycticebus_coucang	9470	GCF_027406575.1	Mammalia	0
Nycticryphes_semicollaris	227226	GCA_013400055.1	Aves	0
Nyctiprogne_leucopyga	382315	GCA_013399395.1	Aves	0
Nylanderia_fulva	613905	GCF_005281655.1	Hymenoptera	40
Nymphaea_colorata	210225	GCF_008831285.1	Embryophyta	14
Nymphaea_thermarum	419125	GCA_011799765.1	Embryophyta	16
Nymphalis_io	171585	GCF_905147045.1	Lepidoptera	0
Oceanites_oceanicus	79653	GCA_013396615.1	Aves	0
Oceanodroma_tethys	79633	GCA_013397025.1	Aves	0
Ochotona_curzoniae	130825	GCF_017591425.1	Mammalia	0
Ochotona_princeps	9978	GCF_014633375.1	Mammalia	0
Octodon_degus	10160	GCF_000260255.1	Mammalia	0
Octopus_bimaculoides	37653	GCF_001194135.1	Mollusca	50
Octopus_sinensis	2607531	GCF_006345805.1	Mollusca	2
Odocoileus_virginianus	9874	GCF_002102435.1	Mammalia	31
Odontomachus_brunneus	486640	GCF_010583005.1	Hymenoptera	19
Odontophorus_gujanensis	886794	GCA_013399175.1	Aves	0
Oedothorax_gibbosus	931172	GCA_019343175.1	Arachnida	0
Oenanthe_oenanthe	279966	GCA_013399995.1	Aves	8
Oesophagostomum_dentatum	61180	GCA_000797555.1	Nematoda	34
Oikopleura_dioica	34765	GCA_907165135.1	Invertebrates	0
Olea_europaea	4146	GCF_002742605.1	Embryophyta	50
Onchocerca_flexuosa	387005	GCA_002249935.1	Nematoda	0
Oncorhynchus_gorbuscha	8017	GCF_021184085.1	Teleostei	0
Oncorhynchus_keta	8018	GCF_023373465.1	Teleostei	0
Oncorhynchus_kisutch	8019	GCF_002021735.2	Teleostei	6
Oncorhynchus_mykiss	8022	GCF_013265735.2	Teleostei	47
Oncorhynchus_nerka	8023	GCF_006149115.2	Teleostei	0
Oncorhynchus_tshawytscha	74940	GCF_018296145.1	Teleostei	0
Onthophagus_taurus	166361	GCF_000648695.1	Coleoptera	53
Onychomys_torridus	38674	GCF_903995425.1	Mammalia	30
Onychorhynchus_coronatus	360224	GCA_013397825.1	Aves	0
Onychostoma_macrolepis	369639	GCA_012432095.1	Teleostei	0
Onychostruthus_taczanowskii	356909	GCF_017590055.1	Aves	11
Ooceraea_biroi	2015173	GCF_003672135.1	Hymenoptera	0
Oopsacas_minuta	111878	GCA_024704765.1	Invertebrates	0
Ophiophagus_hannah	8665	GCA_000516915.1	Lepidosauria	4
Opisthocomus_hoazin	30419	GCF_000692075.1	Aves	0
Opisthorchis_felineus	147828	GCA_004794785.1	Platyhelminthes	0
Opisthorchis_viverrini	6198	GCF_000715545.1	Platyhelminthes	0
Oppia_nitens	1686743	GCF_028296485.1	Arachnida	0
Oppiella_nova	334625	GCA_905397405.1	Arachnida	10
Orbicella_faveolata	48498	GCF_002042975.1	Cnidaria	50
Orchesella_cincta	48709	GCA_001718145.1	Invertebrates	0
Orcinus_orca	9733	GCF_937001465.1	Mammalia	0
Oreocharis_arfaki	979223	GCA_013398015.1	Aves	0
Oreochromis_aureus	47969	GCF_013358895.1	Teleostei	0
Oreochromis_niloticus	8128	GCF_001858045.2	Teleostei	0
Oreotrochilus_melanogaster	689266	GCA_013400995.1	Aves	0
Origma_solitaria	720586	GCA_013397895.1	Aves	0
Oriolus_oriolus	181099	GCA_013400235.1	Aves	0
Ornithorhynchus_anatinus	9258	GCF_004115215.1	Mammalia	6
Orthonyx_spaldingii	38397	GCA_013397795.1	Aves	0
Orussus_abietinus	222816	GCF_000612105.2	Hymenoptera	2
Orycteropus_afer	9818	GCF_000298275.1	Mammalia	0
Oryctolagus_cuniculus	9986	GCF_000003625.3	Mammalia	338
Oryx_dammah	59534	GCF_014754425.2	Mammalia	0
Oryza_sativa	4530	GCF_001433935.1	Embryophyta	50
Oryzias_javanicus	123683	GCA_003999625.1	Teleostei	0
Oryzias_latipes	8090	GCF_002234675.1	Teleostei	0
Oryzias_melastigma	30732	GCF_002922805.2	Teleostei	0
Osmia_bicornis	1437190	GCF_004153925.1	Hymenoptera	19
Osmia_lignaria	473952	GCF_012274295.1	Hymenoptera	41
Ostrea_edulis	37623	GCF_947568905.1	Mollusca	0
Ostrinia_furnacalis	93504	GCF_004193835.1	Lepidoptera	0
Otolemur_garnettii	30611	GCF_000181295.1	Mammalia	0
Ovis_ammon	30527	GCA_028583565.1	Mammalia	0
Ovis_aries	9940	GCF_002742125.1	Mammalia	37
Owenia_fusiformis	6347	GCA_903813345.2	Annelida	48
Oxylabes_madagascariensis	98144	GCA_013400675.1	Aves	0
Oxyruncus_cristatus	114331	GCA_013399855.1	Aves	0
Oxyura_jamaicensis	8884	GCF_011077185.1	Aves	46
Pachycephala_philippinensis	449367	GCA_013397055.1	Aves	0
Pachyramphus_minor	369605	GCA_013397135.1	Aves	0
Pan_paniscus	9597	GCF_013052645.1	Mammalia	0
Pan_troglodytes	9598	GCF_002880755.1	Mammalia	29
Pandion_haliaetus	56262	GCA_013401275.1	Aves	0
Pangasianodon_gigas	30993	GCA_022758105.1	Teleostei	0
Pangasianodon_hypophthalmus	310915	GCF_027358585.1	Teleostei	0
Pangasius_djambal	1691987	GCA_022985145.1	Teleostei	0
Panicum_hallii	206008	GCF_002211085.1	Embryophyta	50
Panonychus_citri	50023	GCF_014898815.1	Arachnida	0
Panthera_leo	9689	GCF_018350215.1	Mammalia	7
Panthera_pardus	9691	GCF_024362965.1	Mammalia	0
Panthera_tigris	9694	GCF_000464555.1	Mammalia	1
Panthera_uncia	29064	GCF_023721935.1	Mammalia	0
Pantherophis_guttatus	94885	GCF_001185365.1	Lepidosauria	35
Panurus_biarmicus	181101	GCA_013398035.1	Aves	0
Papilio_machaon	76193	GCF_912999745.1	Lepidoptera	10
Papilio_polytes	76194	GCF_000836215.1	Lepidoptera	0
Papilio_xuthus	66420	GCF_000836235.2	Lepidoptera	0
Papio_anubis	9555	GCF_008728515.1	Mammalia	0
Paragonimus_heterotremus	100268	GCA_013368495.1	Platyhelminthes	4
Paragonimus_kellicotti	100269	GCA_014220965.1	Platyhelminthes	3
Paragonimus_westermani	34504	GCA_008508345.1	Platyhelminthes	0
Paralichthys_olivaceus	8255	GCF_001970005.1	Teleostei	0
Paramacrobiotus_metropolitanus	2943436	GCF_019649055.1	Tardigrada	0
Parambassis_ranga	210632	GCF_900634625.1	Teleostei	0
Paramormyrops_kingsleyae	1676925	GCF_002872115.1	Teleostei	38
Paramuricea_clavata	317549	GCA_902702795.2	Cnidaria	40
Pararge_aegeria	116150	GCF_905163445.1	Lepidoptera	0
Parasponia_andersonii	3476	GCA_002914805.1	Embryophyta	46
Parasteatoda_tepidariorum	114398	GCF_000365465.3	Arachnida	0
Pardalotus_punctatus	254575	GCA_013400915.1	Aves	0
Parelaphostrongylus_tenuis	148309	GCA_019055375.1	Nematoda	0
Parnassius_apollo	110799	GCA_907164705.1	Lepidoptera	0
Parus_major	9157	GCF_001522545.3	Aves	0
Passer_montanus	9160	GCF_014805655.1	Aves	0
Passerina_amoena	142471	GCA_013401095.1	Aves	0
Patagioenas_fasciata	372321	GCA_002029285.1	Aves	10
Patella_vulgata	6465	GCF_932274485.2	Mollusca	0
Patiria_miniata	46514	GCF_015706575.1	Echinodermata	0
Pecten_maximus	6579	GCF_902652985.1	Mollusca	50
Pectinophora_gossypiella	13191	GCF_024362695.1	Lepidoptera	0
Pediculus_humanus	121225	GCF_000006295.1	Invertebrates	0
Pedionomus_torquatus	227192	GCA_013398155.1	Aves	0
Pelecanoides_urinatrix	37079	GCA_013400755.1	Aves	0
Pelecanus_crispus	36300	GCF_000687375.1	Aves	0
Pelodiscus_sinensis	13735	GCF_000230535.1	Testudines	2
Penaeus_chinensis	139456	GCF_019202785.1	Crustacea	50
Penaeus_japonicus	27405	GCF_017312705.1	Crustacea	50
Penaeus_monodon	6687	GCF_015228065.2	Crustacea	0
Penaeus_vannamei	6689	GCF_003789085.1	Crustacea	0
Penelope_pileata	1118817	GCA_013396635.1	Aves	0
Perca_flavescens	8167	GCF_004354835.1	Teleostei	0
Perca_fluviatilis	8168	GCF_010015445.1	Teleostei	46
Periophthalmus_magnuspinnatus	409849	GCF_009829125.1	Teleostei	5
Periplaneta_americana	6978	GCA_025594305.2	Blattodea	50
Perognathus_longimembris	38669	GCF_023159225.1	Mammalia	0
Peromyscus_californicus	42520	GCF_007827085.1	Mammalia	0
Peromyscus_leucopus	10041	GCF_004664715.2	Mammalia	0
Peromyscus_maniculatus	10042	GCF_000500345.1	Mammalia	50
Petromyzon_marinus	7757	GCF_010993605.1	Vertebrates	0
Peucedramus_taeniatus	135441	GCA_013400575.1	Aves	0
Phacochoerus_africanus	41426	GCF_016906955.1	Mammalia	0
Phaedon_cochleariae	80249	GCA_918026855.4	Coleoptera	0
Phaethon_lepturus	97097	GCF_000687285.1	Aves	0
Phaetusa_simplex	297813	GCA_013399535.1	Aves	0
Phainopepla_nitens	161653	GCA_013400175.1	Aves	0
Phalacrocorax_carbo	9209	GCF_000708925.1	Aves	0
Phascolarctos_cinereus	38626	GCF_002099425.1	Mammalia	50
Phaseolus_vulgaris	3885	GCF_000499845.1	Embryophyta	50
Phasianus_colchicus	9054	GCF_004143745.1	Aves	0
Pheucticus_melanocephalus	371919	GCA_013398405.1	Aves	0
Phlebotomus_papatasi	29031	GCF_024763615.1	Diptera	0
Phoca_vitulina	9720	GCF_004348235.1	Mammalia	0
Phocoena_sinus	42100	GCF_008692025.1	Mammalia	0
Phodopus_roborovskii	109678	GCF_943737965.1	Mammalia	0
Photinus_pyralis	7054	GCF_008802855.1	Coleoptera	30
Phrynocephalus_forsythii	171643	GCA_029282475.1	Lepidosauria	0
Phrynosoma_platyrhinos	52577	GCA_020142125.1	Lepidosauria	0
Phthorimaea_operculella	192464	GCA_024500475.1	Lepidoptera	0
Phyllostomus_discolor	89673	GCF_004126475.2	Mammalia	8
Phyllostomus_hastatus	9423	GCF_019186645.2	Mammalia	0
Phyllotreta_striolata	444603	GCA_918026865.1	Coleoptera	6
Physeter_catodon	9755	GCF_002837175.3	Mammalia	0
Piaya_cayana	33601	GCA_013389865.1	Aves	0
Picathartes_gymnocephalus	175131	GCA_013390045.1	Aves	0
Pieris_brassicae	7116	GCF_905147105.1	Lepidoptera	0
Pieris_macdunnoughi	345717	GCA_905332375.1	Lepidoptera	0
Pieris_napi	78633	GCF_905475465.1	Lepidoptera	0
Pieris_rapae	64459	GCF_905147795.1	Lepidoptera	50
Piliocolobus_tephrosceles	591936	GCF_002776525.3	Mammalia	50
Pimephales_promelas	90988	GCF_016745375.1	Teleostei	0
Pipistrellus_kuhlii	59472	GCF_014108245.1	Mammalia	6
Pipra_filicauda	649802	GCF_003945595.2	Aves	36
Piprites_chloris	114369	GCA_013399295.1	Aves	0
Pistacia_vera	55513	GCF_008641045.1	Embryophyta	42
Pitangus_sulphuratus	371930	GCA_029286575.1	Aves	0
Pitta_sordida	9163	GCA_013390025.1	Aves	0
Plakobranchus_ocellatus	259542	GCA_019648995.1	Mollusca	0
Platysteira_castanea	1160851	GCA_013397175.1	Aves	0
Platysternon_megacephalum	55544	GCA_003942145.1	Testudines	0
Plectropomus_leopardus	160734	GCF_008729295.1	Teleostei	0
Pleuronectes_platessa	8262	GCF_947347685.1	Teleostei	0
Ploceus_nigricollis	441696	GCA_013399945.1	Aves	0
Plodia_interpunctella	58824	GCF_027563975.1	Lepidoptera	0
Plutella_xylostella	51655	GCF_000330985.1	Lepidoptera	15
Pluvianellus_socialis	227228	GCA_013400795.1	Aves	0
Pocillopora_damicornis	46731	GCF_003704095.1	Cnidaria	50
Podarcis_muralis	64176	GCF_004329235.1	Lepidosauria	50
Podarcis_raffonei	65483	GCF_027172205.1	Lepidosauria	0
Podiceps_cristatus	345573	GCA_000699545.1	Aves	0
Podilymbus_podiceps	9252	GCA_013399565.1	Aves	0
Poecilia_formosa	48698	GCF_000485575.1	Teleostei	0
Poecilia_latipinna	48699	GCF_001443285.1	Teleostei	0
Poecilia_mexicana	48701	GCF_001443325.1	Teleostei	0
Poecilia_reticulata	8081	GCF_000633615.1	Teleostei	0
Poeciliopsis_prolifica	188132	GCF_027474105.1	Teleostei	0
Pogona_vitticeps	103695	GCF_900067755.1	Lepidosauria	0
Pogonomyrmex_barbatus	144034	GCF_000187915.1	Hymenoptera	39
Pogonophryne_albipinna	1090488	GCA_028583405.1	Teleostei	0
Polioptila_caerulea	66707	GCA_013397295.1	Aves	0
Polistes_canadensis	91411	GCF_001313835.1	Hymenoptera	14
Polistes_dominula	743375	GCF_001465965.1	Hymenoptera	12
Polistes_exclamans	27506	GCA_023678865.1	Hymenoptera	0
Polistes_fuscatus	30207	GCF_010416935.1	Hymenoptera	50
Pollicipes_pollicipes	41117	GCF_011947565.2	Crustacea	5
Polyodon_spathula	7913	GCF_017654505.1	Vertebrates	0
Polypedilum_vanderplanki	319348	GCA_018290095.1	Diptera	50
Polypterus_senegalus	55291	GCF_016835505.1	Vertebrates	0
Pomacea_canaliculata	400727	GCF_003073045.1	Mollusca	50
Pomatorhinus_ruficollis	932028	GCA_013401195.1	Aves	0
Pomatostomus_ruficeps	9176	GCA_013400735.1	Aves	0
Pomphorhynchus_laevis	141832	GCA_012934845.2	Invertebrates	21
Pongo_abelii	9601	GCF_002880775.1	Mammalia	0
Pongo_pygmaeus	9600	GCF_028885625.1	Mammalia	0
Pontoporia_blainvillei	48723	GCA_011754075.1	Mammalia	0
Populus_trichocarpa	3694	GCF_000002775.4	Embryophyta	26
Portunus_trituberculatus	210409	GCF_017591435.1	Crustacea	0
Priapulus_caudatus	37621	GCF_000485595.1	Invertebrates	0
Prionailurus_bengalensis	37029	GCF_016509475.1	Mammalia	0
Prionailurus_viverrinus	61388	GCF_022837055.1	Mammalia	0
Pristionchus_pacificus	54126	GCA_000180635.4	Nematoda	0
Pristis_pectinata	685728	GCF_009764475.1	Chondrichthyes	7
Probosciger_aterrimus	141839	GCA_013397665.1	Aves	0
Procambarus_clarkii	6728	GCF_020424385.1	Crustacea	50
Prochilodus_magdalenae	148989	GCA_024036415.1	Teleostei	0
Promerops_cafer	254652	GCA_013398275.1	Aves	0
Propithecus_coquereli	379532	GCF_000956105.1	Mammalia	0
Protobothrops_mucrosquamatus	103944	GCF_001527695.2	Lepidosauria	50
Protopolystoma_xenopodis	117903	GCA_900617795.1	Platyhelminthes	0
Protopterus_annectens	7888	GCF_019279795.1	Vertebrates	0
Prunella_fulvescens	670355	GCA_013400715.1	Aves	0
Prunella_himalayana	670356	GCA_013398875.1	Aves	0
Psammomys_obesus	48139	GCF_907164565.1	Mammalia	0
Pseudoatta_argentina	621737	GCA_017607525.1	Hymenoptera	0
Pseudochaenichthys_georgianus	52239	GCF_902827115.1	Teleostei	35
Pseudoliparis_swirei	2059687	GCF_029220125.1	Teleostei	0
Pseudomyrmex_gracilis	219809	GCF_002006095.1	Hymenoptera	0
Pseudonaja_textilis	8673	GCF_900518735.1	Lepidosauria	0
Pseudopodoces_humilis	181119	GCF_000331425.1	Aves	0
Psilopogon_haemacephalus	2585815	GCA_013396835.1	Aves	0
Psophia_crepitans	54359	GCA_013399095.1	Aves	0
Psylliodes_chrysocephala	2598218	GCA_927349885.1	Coleoptera	0
Pterocles_burchelli	2585816	GCA_013397535.1	Aves	0
Pterocles_gutturalis	240206	GCF_000699245.1	Aves	0
Pteronotus_parnellii	59476	GCF_021234165.1	Mammalia	0
Pteropus_alecto	9402	GCF_000325575.1	Mammalia	0
Pteropus_giganteus	143291	GCF_902729225.1	Mammalia	6
Pteropus_vampyrus	132908	GCF_000151845.1	Mammalia	15
Pteruthius_melanotis	357074	GCA_013401235.1	Aves	0
Ptilonorhynchus_violaceus	28724	GCA_013397565.1	Aves	0
Ptilorrhoa_leucosticta	449384	GCA_013396485.1	Aves	0
Puma_concolor	9696	GCF_003327715.1	Mammalia	2
Puma_yagouaroundi	1608482	GCF_014898765.1	Mammalia	0
Pundamilia_nyererei	303518	GCF_000239375.1	Teleostei	0
Pungitius_pungitius	134920	GCF_902500615.1	Teleostei	0
Punica_granatum	22663	GCF_007655135.1	Embryophyta	50
Puntigrus_tetrazona	1606681	GCF_018831695.1	Teleostei	50
Pycnonotus_jocosus	182897	GCA_013400435.1	Aves	0
Pygocentrus_nattereri	42514	GCF_015220715.1	Teleostei	0
Pygoscelis_adeliae	9238	GCF_000699105.1	Aves	0
Pygoscelis_antarcticus	79643	GCA_010078415.1	Aves	0
Pygoscelis_papua	30457	GCA_010090195.1	Aves	0
Pyrgilauda_ruficollis	221976	GCF_017590135.1	Aves	0
Python_bivittatus	176946	GCF_000186305.1	Lepidosauria	50
Quercus_suber	58331	GCF_002906115.1	Embryophyta	45
Quiscalus_mexicanus	64278	GCA_013399035.1	Aves	0
Ramazzottius_varieornatus	947166	GCA_001949185.1	Tardigrada	23
Ramphastos_sulfuratus	322582	GCA_013399055.1	Aves	0
Rana_temporaria	8407	GCF_905171775.1	Amphibia	50
Rangifer_tarandus	9870	GCA_951394145.1	Mammalia	0
Rattus_norvegicus	10116	GCF_000001895.5	Mammalia	362
Rattus_rattus	10117	GCF_011064425.1	Mammalia	0
Regulus_satrapa	13245	GCA_013396955.1	Aves	0
Rhabdornis_inornatus	237438	GCA_013397075.1	Aves	0
Rhadina_sibilatrix	2585818	GCA_013400275.1	Aves	0
Rhagoletis_pomonella	28610	GCF_013731165.1	Diptera	0
Rhagoletis_zephyria	28612	GCF_001687245.2	Diptera	0
Rhagologus_leucostigma	156170	GCA_013397725.1	Aves	0
Rhamnella_rubrinervis	2594499	GCA_007844105.2	Embryophyta	4
Rhinatrema_bivittatum	194408	GCF_901001135.1	Amphibia	0
Rhincodon_typus	259920	GCF_021869965.1	Chondrichthyes	0
Rhinolophus_ferrumequinum	59479	GCF_004115265.2	Mammalia	0
Rhinopithecus_bieti	61621	GCF_001698545.2	Mammalia	0
Rhinopithecus_roxellana	61622	GCF_007565055.1	Mammalia	0
Rhinopomastus_cyanomelas	113115	GCA_013400115.1	Aves	0
Rhinoptilus_africanus	240209	GCA_013400135.1	Aves	0
Rhipicephalus_microplus	6941	GCF_013339725.1	Arachnida	0
Rhipicephalus_sanguineus	34632	GCF_013339695.2	Arachnida	0
Rhipidura_dahli	667186	GCA_013399225.1	Aves	0
Rhodinocichla_rosea	58203	GCA_013396575.1	Aves	0
Rhododendron_simsii	118357	GCA_014282245.1	Embryophyta	40
Rhopalosiphum_maidis	43146	GCF_003676215.2	Hemiptera	0
Rhyzopertha_dominica	92692	GCA_025024175.1	Coleoptera	19
Rissa_tridactyla	75485	GCA_013401015.1	Aves	0
Rodentolepis_nana	102285	GCA_900617975.1	Platyhelminthes	0
Rosa_chinensis	74649	GCF_002994745.2	Embryophyta	50
Rostratula_benghalensis	118793	GCA_013399305.1	Aves	0
Rotaria_socialis	392032	GCA_905331475.1	Invertebrates	0
Rotaria_sordida	392033	GCA_905250125.1	Invertebrates	0
Rousettus_aegyptiacus	9407	GCF_014176215.1	Mammalia	0
Rynchops_niger	227184	GCA_013400035.1	Aves	0
Sabethes_cyaneus	53552	GCF_943734655.1	Diptera	0
Saccoglossus_kowalevskii	10224	GCF_000003605.2	Invertebrates	0
Sagittarius_serpentarius	56258	GCA_013399415.1	Aves	0
Saimiri_boliviensis	27679	GCF_016699345.2	Mammalia	0
Sakesphorus_luctuosus	419690	GCA_013396695.1	Aves	0
Salarias_fasciatus	181472	GCF_902148845.1	Teleostei	0
Salix_dunnii	1413687	GCA_015731905.1	Embryophyta	14
Salix_suchowensis	1278906	GCA_017552425.1	Embryophyta	24
Salmo_salar	8030	GCF_000233375.1	Teleostei	24
Salmo_trutta	8032	GCF_901001165.1	Teleostei	0
Salvelinus_fontinalis	8038	GCF_029448725.1	Teleostei	0
Salvelinus_namaycush	8040	GCF_016432855.1	Teleostei	0
Sander_lucioperca	283035	GCF_008315115.2	Teleostei	17
Sapajus_apella	9515	GCF_009761245.1	Mammalia	0
Sapayoa_aenigma	239371	GCA_013398745.1	Aves	0
Sarcophaga_bullata	7385	GCA_005959815.1	Diptera	0
Sarcophilus_harrisii	9305	GCF_902635505.1	Mammalia	0
Sarcoptes_scabiei	52283	GCA_020844145.1	Arachnida	0
Scaptodrosophila_lebanonensis	7225	GCF_003285725.1	Diptera	6
Scatophagus_argus	75038	GCF_020382885.2	Teleostei	0
Sceloporus_undulatus	8520	GCF_019175285.1	Lepidosauria	0
Schistocerca_americana	7009	GCF_021461395.2	Invertebrates	0
Schistocerca_cancellata	274614	GCF_023864275.1	Invertebrates	0
Schistocerca_gregaria	7010	GCF_023897955.1	Invertebrates	0
Schistocerca_nitens	7011	GCF_023898315.1	Invertebrates	0
Schistocerca_piceifrons	274613	GCF_021461385.2	Invertebrates	0
Schistocerca_serialis	2023354	GCF_023864345.2	Invertebrates	0
Schistosoma_bovis	6184	GCA_944470425.1	Platyhelminthes	14
Schistosoma_curassoni	6186	GCA_944474815.3	Platyhelminthes	0
Schistosoma_haematobium	6185	GCF_000699445.2	Platyhelminthes	40
Schistosoma_mansoni	6183	GCF_000237925.1	Platyhelminthes	0
Schistosoma_margrebowiei	48269	GCA_944470205.1	Platyhelminthes	0
Schistosoma_mattheei	31246	GCA_944470405.2	Platyhelminthes	0
Schistosoma_spindale	6189	GCA_946903255.1	Platyhelminthes	0
Sciurus_carolinensis	30640	GCF_902686445.1	Mammalia	38
Scleropages_formosus	113540	GCF_900964775.1	Teleostei	0
Sclerurus_mexicanus	265632	GCA_013396755.1	Aves	0
