#major: Number of major introns.
#minor: Number of minor introns.
#unclassified: Number of unclassified introns.
#sequencing_depth: Median per-base read coverage across BUSCO genes from eukaryota geneset.
#no_compiled_rna_seq: Number of sub-sampled RNA-seq.
#replicate: Replicates number.
#samples: SRA Accession of the RNA-seq samples studied.
major	minor	unclassified	sequencing_depth	no_compiled_rna_seq	replicate	samples
38132	38110	4492	337.947976878612	11	1	SRR6055385,SRR6055375,SRR6055362,SRR6055359,SRR6055413,SRR6766811,SRR6055420,SRR6766818,SRR6055384,SRR6766830,SRR6766828
37213	32011	5449	213.009020618557	11	2	SRR6766837,SRR6766815,SRR6766833,SRR6766842,SRR6055380,SRR6766858,SRR6766835,SRR6055413,SRR6055377,SRR6766831,SRR6055408
37042	37000	5159	391.691817215728	11	3	SRR6766854,SRR6766861,SRR6055367,SRR6766852,SRR6055375,SRR6766843,SRR6055378,SRR6055411,SRR6766816,SRR6766814,SRR6766859
35873	35773	4220	394.149815043157	11	4	SRR6766841,SRR6766854,SRR7444550,SRR6055364,SRR6766848,SRR6055381,SRR6766843,SRR6766813,SRR6055374,SRR6055369,SRR6766860
38796	40777	4843	488.247257383966	11	5	SRR7444551,SRR6766859,SRR6766806,SRR6766810,SRR6766823,SRR6766832,SRR6766808,SRR6055378,SRR6766804,SRR6055407,SRR6766820
36905	36084	5232	203.516228070176	11	6	SRR6766842,SRR6766808,SRR6055378,SRR6766853,SRR6055406,SRR6055370,SRR6055413,SRR6055371,SRR6055410,SRR6766838,SRR6766813
38145	32141	5161	321.284016636958	11	7	SRR6766820,SRR6055365,SRR7444550,SRR6055394,SRR6055390,SRR6055402,SRR6055408,SRR6055404,SRR6055411,SRR6766833,SRR6766856
37495	34804	4970	186.239327883742	11	8	SRR6766842,SRR6766839,SRR6055417,SRR6055415,SRR6055380,SRR6055404,SRR6766855,SRR6766818,SRR6055368,SRR6055378,SRR6766819
37674	32966	5358	415.950209399721	11	9	SRR6055414,SRR6055368,SRR6055412,SRR6055386,SRR6766852,SRR6766859,SRR6766844,SRR7444552,SRR6766825,SRR6055362,SRR6766842
38241	34349	4942	376.606060606061	11	10	SRR7444553,SRR6055410,SRR6055373,SRR6766831,SRR6766823,SRR6055389,SRR6055393,SRR6055399,SRR6055376,SRR6766830,SRR6055372
38853	46509	4503	797.028248587571	12	1	SRR6766831,SRR6766860,SRR6766857,SRR6055404,SRR6055387,SRR7444554,SRR6766805,SRR6766824,SRR6766845,SRR6766846,SRR6766849,SRR6055365
37810	41809	4621	698.444029850746	12	2	SRR6055386,SRR6766820,SRR6766856,SRR6055415,SRR6055381,SRR6055359,SRR6766827,SRR6766814,SRR6055377,SRR6766804,SRR6766816,SRR6766843
38728	39148	4371	243.18239608802	12	3	SRR6055359,SRR6766839,SRR6055419,SRR6766803,SRR6766833,SRR6766834,SRR6055401,SRR6766847,SRR6055397,SRR6055370,SRR6055413,SRR6766813
38373	42694	4728	614.020347097546	12	4	SRR6766843,SRR6055379,SRR6766803,SRR6766848,SRR6766826,SRR6055374,SRR6055401,SRR6766831,SRR6766840,SRR6766829,SRR6766812,SRR6766853
37277	37353	4990	385.471098265896	12	5	SRR6055404,SRR6766815,SRR6055381,SRR6055377,SRR6766856,SRR6766814,SRR6766834,SRR6055390,SRR6055389,SRR6766839,SRR6766854,SRR6766859
38476	37144	4549	525.15123313169	12	6	SRR7444554,SRR6766849,SRR6766809,SRR6055407,SRR6055361,SRR6055404,SRR6055389,SRR6766851,SRR6055365,SRR7444553,SRR6055417,SRR6055374
39447	39879	4553	362.446140035907	12	7	SRR6766806,SRR6766841,SRR6766824,SRR6766837,SRR6055414,SRR6055393,SRR6055420,SRR6766807,SRR6055416,SRR6055415,SRR6766858,SRR6055387
37581	37727	4850	318.84649967887	12	8	SRR6766808,SRR6766829,SRR6766854,SRR6766815,SRR6055419,SRR6766842,SRR6766838,SRR6766844,SRR6055380,SRR6055367,SRR6055364,SRR6055372
35360	31477	5267	404.164739884393	12	9	SRR6766859,SRR6766830,SRR6055379,SRR6766847,SRR6055362,SRR6766826,SRR6055388,SRR6766825,SRR6766821,SRR6055408,SRR6766814,SRR6766807
38715	34973	4802	335.240586797066	12	10	SRR6766843,SRR7444555,SRR6055417,SRR6055413,SRR6766832,SRR6766849,SRR6055412,SRR6055370,SRR6766859,SRR6055389,SRR6055392,SRR6055391
39353	50616	4195	861.251542756392	13	1	SRR6766814,SRR6766858,SRR6055396,SRR6766827,SRR6766819,SRR6766845,SRR6055405,SRR6766859,SRR6766832,SRR6766815,SRR6766847,SRR6766850,SRR6055390
39566	38910	4301	449.691205211726	13	2	SRR6055411,SRR6766829,SRR6766835,SRR6055404,SRR6055380,SRR7444553,SRR6766815,SRR6055362,SRR6766852,SRR6055414,SRR6055398,SRR6055367,SRR6055421
39435	42862	4352	593.305292350359	13	3	SRR6055366,SRR6055399,SRR6766818,SRR6055410,SRR6055412,SRR6766859,SRR6055414,SRR6055393,SRR6766826,SRR6055384,SRR7444552,SRR6766832,SRR6766805
38809	39714	4275	378.900947722409	13	4	SRR6055393,SRR6766818,SRR6766861,SRR6055359,SRR6055414,SRR6766816,SRR6055395,SRR6055415,SRR6766840,SRR6766843,SRR6055371,SRR6055419,SRR6055404
38487	38423	4605	326.352040816327	13	5	SRR6766830,SRR6766842,SRR6055401,SRR6055417,SRR6055395,SRR6766809,SRR6055420,SRR6766858,SRR6766849,SRR6055370,SRR6766857,SRR6766815,SRR6055389
38875	37837	4366	287.545454545455	13	6	SRR6766820,SRR6055392,SRR6055387,SRR6055415,SRR6055366,SRR6766831,SRR6055394,SRR6766858,SRR6766855,SRR6055372,SRR6055410,SRR6055403,SRR6766811
39195	40568	4571	530.381355932203	13	7	SRR6766851,SRR6055379,SRR6055404,SRR6055389,SRR7444555,SRR7444551,SRR6766812,SRR6055400,SRR6766854,SRR6766838,SRR6766852,SRR6055409,SRR6055376
39195	41256	4651	697.205190592052	13	8	SRR6766803,SRR6766836,SRR6766826,SRR6055375,SRR7444550,SRR6766807,SRR6766837,SRR6766840,SRR6055398,SRR6055406,SRR6766860,SRR6766820,SRR6766851
40151	48797	3647	654.579554822754	13	9	SRR6766804,SRR6055412,SRR6766850,SRR6055392,SRR6766852,SRR6055395,SRR6055418,SRR6766803,SRR6055388,SRR6766849,SRR6055400,SRR6055394,SRR7444552
39342	45850	3979	701.268875438036	13	10	SRR6766829,SRR6766848,SRR6055399,SRR6055382,SRR6055367,SRR6055387,SRR6766853,SRR6055400,SRR7444553,SRR6766814,SRR6055396,SRR6055386,SRR6766815
37446	38033	4085	527.673429951691	14	1	SRR7444552,SRR6766831,SRR6766843,SRR6766837,SRR6766803,SRR6766830,SRR6766823,SRR6766834,SRR6055408,SRR6766811,SRR6766851,SRR6766815,SRR6055374,SRR6055375
39562	44741	3932	560.412811387901	14	2	SRR6766808,SRR6766820,SRR6766824,SRR6055407,SRR6055372,SRR6766854,SRR6055389,SRR6766840,SRR6055370,SRR6766812,SRR6055396,SRR6766803,SRR6055369,SRR6055403
38652	44368	4570	668.388264058679	14	3	SRR6055388,SRR7444553,SRR6766856,SRR6766857,SRR6766860,SRR6766823,SRR6766844,SRR6766853,SRR6766830,SRR6055394,SRR6055375,SRR6766847,SRR6766820,SRR6055381
39350	42201	4480	529.309566250743	14	4	SRR6766849,SRR6766836,SRR6766831,SRR6766816,SRR6766808,SRR6055408,SRR6055421,SRR6766826,SRR6055366,SRR6766837,SRR6766856,SRR6055411,SRR6055417,SRR6766828
