species	sequencing_depth	intron	annotated	annotated_unclassified	annotated_major	annotated_minor	prop_annot_unclassified	prop_annot_minor	prop_annot_major
Lepisosteus_oculatus_NCBI.taxid7918	1592.43433416572	418869	205141	3922	170414	30805	0.590840614642965	0.128179522067849	0.991332371556217
Lepidothrix_coronata_NCBI.taxid321398	607.422490244768	232356	155285	18065	117895	19325	0.854743316773125	0.209507805724198	0.990872492246661
Lepeophtheirus_salmonis_NCBI.taxid72036	3471.63955469583	133391	55764	3403	40678	11683	0.684846045481988	0.134205598888034	0.983296671420629
Lates_calcarifer_NCBI.taxid8187	2842.44885993485	478397	264386	10736	224083	29567	0.835226388672787	0.123818537394312	0.988238147739802
Lamprotornis_superbus_NCBI.taxid245042	626.338873702963	203007	105688	5879	94812	4997	0.652135330005546	0.0627961043041156	0.828653084768872
Lamellibrachia_satsuma_NCBI.taxid104711	55.5464052287582	155284	130426	45713	82700	2013	0.886735723153321	0.111939053550576	0.964442734026053
Lactuca_saligna_NCBI.taxid75948	102.383885106834	123966	98793	16684	78660	3449	0.90159416373953	0.131646246039925	0.992404935530267
Lacerta_agilis_NCBI.taxid80427	41.3606060606061	172607	155483	68913	80038	6532	0.918913513081047	0.382301299309376	0.993927502576776
Juglans_regia_NCBI.taxid51240	5103.22918554004	415159	150736	4529	125155	21052	0.8166245943022	0.0742729527485438	0.991939574549028
Ixodes_scapularis_NCBI.taxid6945	1121.31102530264	175832	118827	16881	90944	11002	0.860924112607099	0.171715752836697	0.986880513927924
Ischnura_elegans_NCBI.taxid197161	3089.159686441	210418	113148	6529	92677	13942	0.755671296296296	0.129040020732294	0.988723408795101
Ipomoea_triloba_NCBI.taxid35885	1509.98496844325	285724	147392	6937	124400	16055	0.802058041392068	0.105776009170988	0.992880630846343
Ipomoea_nil_NCBI.taxid35883	789.171840354767	238292	143318	8177	123834	11307	0.792114695340502	0.110216494945852	0.98766948476631
Intoshia_linei_NCBI.taxid1819745	78.8358807353908	50100	34539	7366	26117	1056	0.779058699101005	0.0901639344262295	0.902671689766011
Ignelater_luminosus_NCBI.taxid2038154	380.78510998308	89590	57930	6121	50296	1513	0.759617771159097	0.0522318500362481	0.956834395510321
Hymenochirus_boettgeri_NCBI.taxid247094	765.772226304189	188291	143007	13858	122030	7119	0.841255387603958	0.153221987861048	0.973467564376655
Hydra_vulgaris_NCBI.taxid6087	2513.33018887507	235833	133586	8205	112054	13327	0.710697271546124	0.120068471552773	0.989063755042236
Homo_sapiens_NCBI.taxid9606	10455.9447132728	1247849	308243	8311	186070	113862	0.291675440443602	0.110775355494501	0.971690575536187
Homarus_americanus_NCBI.taxid6706	1174.087519297	254506	141403	10842	106839	23722	0.761376404494382	0.180644080445328	0.980651142298549
Hirundo_rustica_NCBI.taxid43150	641.953212290503	287433	179863	10402	140685	28776	0.781928888220702	0.217489229839014	0.991996897475673
Hibiscus_syriacus_NCBI.taxid106335	222.843342036554	485352	325168	46093	263352	15723	0.79906039803065	0.100810433043099	0.969267800752295
Heterocephalus_glaber_NCBI.taxid10181	2188.28359798044	483477	203309	17264	144167	41878	0.723645051766777	0.13346931620799	0.988426862294745
Herrania_umbratica_NCBI.taxid108875	2252.00711354776	220003	103183	2336	88503	12344	0.792939579090292	0.0965046008552822	0.992787113274852
Hermetia_illucens_NCBI.taxid343691	2569.93065998329	159514	72865	3737	55231	13897	0.839586609750618	0.14001591891429	0.989625515140656
Harpegnathos_saltator_NCBI.taxid610380	1826.52404643449	200902	86302	2391	63959	19952	0.668063704945515	0.150421061361118	0.988822238026035
