species	clade	NCBI.txid	clade_group	expression_data	dnds_data	lht_data	assembly_accession	nb_rnaseq
Gouania_willdenowi	Teleostei	441366	Teleostei	FALSE	FALSE	TRUE	GCF_900634775.1	0
Parambassis_ranga	Teleostei	210632	Teleostei	FALSE	FALSE	TRUE	GCF_900634625.1	0
Takifugu_bimaculatus	Teleostei	433685	Teleostei	FALSE	FALSE	TRUE	GCA_004026145.2	0
Mirounga_angustirostris	Mammalia	9716	Mammalia	TRUE	FALSE	TRUE	GCF_021288785.1	47
Nomia_melanderi	Hymenoptera	2448451	Hymenoptera	FALSE	FALSE	FALSE	GCF_003710045.2	0
Chloebia_gouldiae	Aves	44316	Aves	TRUE	TRUE	TRUE	GCA_003676055.1	9
Rhopalosiphum_maidis	Hemiptera	43146	Other Insecta	FALSE	FALSE	TRUE	GCF_003676215.2	0
Chelonoidis_abingdonii	Testudines	106734	Other Vertebrates	FALSE	FALSE	TRUE	GCF_003597395.1	0
Pseudonaja_textilis	Lepidosauria	8673	Other Vertebrates	FALSE	FALSE	FALSE	GCF_900518735.1	0
Hyposmocoma_kahamanoa	Lepidoptera	1477025	Lepido Diptera	FALSE	FALSE	FALSE	GCF_003589595.1	0
Coccinella_septempunctata	Coleoptera	41139	Other Insecta	TRUE	FALSE	TRUE	GCF_907165205.1	50
Harmonia_axyridis	Coleoptera	115357	Other Insecta	TRUE	FALSE	TRUE	GCF_914767665.1	50
Sipha_flava	Hemiptera	143950	Other Insecta	FALSE	FALSE	FALSE	GCF_003268045.1	0
Pygoscelis_papua	Aves	30457	Aves	FALSE	FALSE	TRUE	GCA_010090195.1	0
Simochromis_diagramma	Teleostei	43689	Teleostei	FALSE	FALSE	TRUE	GCF_900408965.1	0
Temnothorax_curvispinosus	Hymenoptera	300111	Hymenoptera	FALSE	FALSE	FALSE	GCF_003070985.1	0
Haemaphysalis_longicornis	Arachnida	44386	Other Invertebrates	FALSE	FALSE	FALSE	GCA_013339765.2	0
Choristoneura_fumiferana	Lepidoptera	7141	Lepido Diptera	FALSE	FALSE	FALSE	GCA_025370935.1	0
Styela_clava	Invertebrates	7725	Other Invertebrates	FALSE	FALSE	TRUE	GCF_013122585.1	0
Vanessa_tameamea	Lepidoptera	334116	Lepido Diptera	FALSE	FALSE	FALSE	GCF_002938995.1	0
Anopheles_aquasalis	Diptera	42839	Lepido Diptera	TRUE	FALSE	FALSE	GCF_943734665.1	14
Trichobilharzia_szidati	Platyhelminthes	157070	Other Invertebrates	FALSE	FALSE	FALSE	GCA_944472155.1	0
Dendrolimus_kikuchii	Lepidoptera	765133	Lepido Diptera	FALSE	FALSE	FALSE	GCA_019925095.2	0
Apis_laboriosa	Hymenoptera	183418	Hymenoptera	FALSE	FALSE	FALSE	GCF_014066325.1	0
Drosophila_subobscura	Diptera	7241	Lepido Diptera	FALSE	FALSE	FALSE	GCF_008121235.1	0
Leptidea_sinapis	Lepidoptera	189913	Lepido Diptera	FALSE	FALSE	FALSE	GCF_905404315.1	0
Varroa_jacobsoni	Arachnida	62625	Other Invertebrates	FALSE	FALSE	FALSE	GCF_002532875.1	0
Diploscapter_pachys	Nematoda	2018661	Nematoda	TRUE	FALSE	FALSE	GCA_002287525.1	2
Drosophila_obscura	Diptera	7282	Lepido Diptera	TRUE	FALSE	FALSE	GCF_018151105.1	34
Lagenorhynchus_obliquidens	Mammalia	90247	Mammalia	FALSE	FALSE	TRUE	GCF_003676395.1	0
Vespa_velutina	Hymenoptera	202808	Hymenoptera	FALSE	FALSE	FALSE	GCF_912470025.1	0
Ooceraea_biroi	Hymenoptera	2015173	Hymenoptera	FALSE	FALSE	FALSE	GCF_003672135.1	0
Paramuricea_clavata	Cnidaria	317549	Other Invertebrates	TRUE	FALSE	FALSE	GCA_902702795.2	40
Tropilaelaps_mercedesae	Arachnida	418985	Other Invertebrates	FALSE	FALSE	FALSE	GCA_002081605.1	0
Pseudomyrmex_gracilis	Hymenoptera	219809	Hymenoptera	FALSE	FALSE	FALSE	GCF_002006095.1	0
Aethina_tumida	Coleoptera	116153	Other Insecta	FALSE	FALSE	FALSE	GCF_024364675.1	0
Clunio_marinus	Diptera	568069	Lepido Diptera	TRUE	FALSE	TRUE	GCA_900005825.1	15
Ischnura_elegans	Invertebrates	197161	Other Insecta	TRUE	FALSE	FALSE	GCF_921293095.1	50
Phodopus_roborovskii	Mammalia	109678	Mammalia	FALSE	FALSE	TRUE	GCF_943737965.1	0
Triplophysa_tibetana	Teleostei	1572043	Teleostei	FALSE	FALSE	TRUE	GCA_008369825.1	0
Carlito_syrichta	Mammalia	1868482	Mammalia	FALSE	FALSE	TRUE	GCF_000164805.1	0
Drosophila_navojoa	Diptera	7232	Lepido Diptera	TRUE	FALSE	FALSE	GCF_001654015.2	4
Drosophila_arizonae	Diptera	7263	Lepido Diptera	TRUE	FALSE	FALSE	GCF_001654025.1	50
Ceratina_calcarata	Hymenoptera	156304	Hymenoptera	FALSE	FALSE	FALSE	GCF_001652005.1	0
Intoshia_linei	Invertebrates	1819745	Other Invertebrates	TRUE	FALSE	FALSE	GCA_001642005.1	2
Trachymyrmex_zeteki	Hymenoptera	64791	Hymenoptera	FALSE	FALSE	FALSE	GCF_001594055.1	0
Trachymyrmex_septentrionalis	Hymenoptera	34720	Hymenoptera	FALSE	FALSE	FALSE	GCF_001594115.1	0
Trachymyrmex_cornetzi	Hymenoptera	471704	Hymenoptera	FALSE	FALSE	FALSE	GCF_001594075.2	0
Cyphomyrmex_costatus	Hymenoptera	456900	Hymenoptera	FALSE	FALSE	FALSE	GCF_001594065.1	0
Atta_colombica	Hymenoptera	520822	Hymenoptera	FALSE	FALSE	FALSE	GCF_001594045.1	0
Ditylenchus_destructor	Nematoda	166010	Nematoda	FALSE	FALSE	FALSE	GCA_022814885.1	0
Bactrocera_latifrons	Diptera	174628	Lepido Diptera	TRUE	FALSE	FALSE	GCF_001853355.1	9
Falco_rusticolus	Aves	120794	Aves	FALSE	FALSE	TRUE	GCF_015220075.1	0
