species	clade	NCBI.taxid	clade_dnds
Scomber_japonicus	Teleostei	13676	Teleostei
Anopheles_nili	Diptera	185578	Mecopterida
Hyaena_hyaena	Mammalia	95912	Mammalia
Grus_americana	Aves	9117	Aves
Neogale_vison	Mammalia	452646	Mammalia
Ursus_maritimus	Mammalia	29073	Mammalia
Fukomys_damarensis	Mammalia	885580	Mammalia
Hippocampus_comes	Teleostei	109280	Teleostei
Aphis_craccivora	Hemiptera	307492	Other Insecta
Neotoma_lepida	Mammalia	56216	Mammalia
Hyalella_azteca	Crustacea	294128	Other Invertebrates
Geotrypetes_seraphini	Amphibia	260995	Other Vertebrates
Epinephelus_fuscoguttatus	Teleostei	293821	Teleostei
Cataglyphis_hispanica	Hymenoptera	1086592	Hymenoptera
Triplophysa_rosa	Teleostei	992332	Teleostei
Clupea_harengus	Teleostei	7950	Teleostei
Bactrocera_tryoni	Diptera	59916	Mecopterida
Agelaius_phoeniceus	Aves	39638	Aves
Capitella_teleta	Annelida	283909	Other Invertebrates
Pseudopodoces_humilis	Aves	181119	Aves
Lottia_gigantea	Mollusca	225164	Other Invertebrates
Helobdella_robusta	Annelida	6412	Other Invertebrates
Apis_dorsata	Hymenoptera	7462	Hymenoptera
Hipposideros_armiger	Mammalia	186990	Mammalia
Anastrepha_ludens	Diptera	28586	Mecopterida
Lipotes_vexillifer	Mammalia	118797	Mammalia
Misgurnus_anguillicaudatus	Teleostei	75329	Teleostei
Labrus_bergylta	Teleostei	56723	Teleostei
Frankliniella_occidentalis	Thysanoptera	133901	Other Insecta
Thelazia_callipaeda	Nematoda	103827	Nematoda
Gavialis_gangeticus	Crocodylia	94835	Other Vertebrates
Poecilia_mexicana	Teleostei	48701	Teleostei
Myotis_davidii	Mammalia	225400	Mammalia
Lasius_niger	Hymenoptera	67767	Hymenoptera
Meloidogyne_graminicola	Nematoda	189291	Nematoda
Dissostichus_eleginoides	Teleostei	100907	Teleostei
Notechis_scutatus	Lepidosauria	8663	Other Vertebrates
Spodoptera_litura	Lepidoptera	69820	Mecopterida
Falco_cherrug	Aves	345164	Aves
Micropterus_dolomieu	Teleostei	147949	Teleostei
Papilio_xuthus	Lepidoptera	66420	Mecopterida
Protopterus_annectens	Vertebrates	7888	Other Vertebrates
Epinephelus_moara	Teleostei	300413	Teleostei
Homalodisca_vitripennis	Hemiptera	197043	Other Insecta
Trichuris_trichiura	Nematoda	36087	Nematoda
Tegillarca_granosa	Mollusca	220873	Other Invertebrates
Portunus_trituberculatus	Crustacea	210409	Other Invertebrates
Sarcophaga_bullata	Diptera	7385	Mecopterida
Helicoverpa_armigera	Lepidoptera	29058	Mecopterida
Zalophus_californianus	Mammalia	9704	Mammalia
Chelonia_mydas	Testudines	8469	Other Vertebrates
Cercocebus_atys	Mammalia	9531	Mammalia
Geospiza_fortis	Aves	48883	Aves
Hypomesus_transpacificus	Teleostei	137520	Teleostei
Parasteatoda_tepidariorum	Arachnida	114398	Other Invertebrates
Teleopsis_dalmanni	Diptera	139649	Mecopterida
Orchesella_cincta	Invertebrates	48709	Other Invertebrates
Lytechinus_pictus	Echinodermata	7653	Other Invertebrates
Solea_senegalensis	Teleostei	28829	Teleostei
Ursus_americanus	Mammalia	9643	Mammalia
Dreissena_polymorpha	Mollusca	45954	Other Invertebrates
Folsomia_candida	Invertebrates	158441	Other Invertebrates
Pimephales_promelas	Teleostei	90988	Teleostei
Cherax_quadricarinatus	Crustacea	27406	Other Invertebrates
Austrofundulus_limnaeus	Teleostei	52670	Teleostei
Mytilus_californianus	Mollusca	6549	Other Invertebrates
Chlorocebus_sabaeus	Mammalia	60711	Mammalia
Rattus_rattus	Mammalia	10117	Mammalia
Dermacentor_andersoni	Arachnida	34620	Other Invertebrates
Chilo_suppressalis	Lepidoptera	168631	Mecopterida
Tenebrio_molitor	Coleoptera	7067	Other Insecta
Cyprinodon_variegatus	Teleostei	28743	Teleostei
Stegastes_partitus	Teleostei	144197	Teleostei
Astyanax_mexicanus	Teleostei	7994	Teleostei
Chaenocephalus_aceratus	Teleostei	36190	Teleostei
